0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:00:00 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:00:01 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:00:05 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:00:06 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:11 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:11 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:11 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:11 +0100] "GET /GestionS/resources/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:11 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:11 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:11 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:11 +0100] "GET /GestionS/resources/images/logoSB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:13 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:01:14 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:02:07 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:02:07 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:16:02:07 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
